crsCode,subArea,year,crsNum,subName,grade,prName,crsTime,room
CES123-40,공통교육,2,CES123-40,융합글쓰기2,2,임택균,화3.0-4.5,A405
CES123-41,공통교육,2,CES123-41,융합글쓰기2,2,임택균,목1.0-2.5,A401
CES123-42,공통교육,2,CES123-42,융합글쓰기2,2,최천집,월5.0-6.5,A404
CES123-43,공통교육,2,CES123-43,융합글쓰기2,2,최천집,월7.0-8.5,A404
CES123-44,공통교육,2,CES123-44,융합글쓰기2,2,김위경,화3.0-4.5,A406
CES123-45,공통교육,2,CES123-45,융합글쓰기2,2,김위경,화5.0-6.5,A406
CES123-46,공통교육,2,CES123-46,융합글쓰기2,2,김위경,목2.0-3.5,A404
CES123-47,공통교육,2,CES123-47,융합글쓰기2,2,김위경,목5.0-6.5,A404
CES123-48,공통교육,2,CES123-48,융합글쓰기2,2,김위경,목7.0-8.5,A404
CES123-49,공통교육,2,CES123-49,융합글쓰기2,2,여상임,목8.0-9.5,A405
CES123-50,공통교육,2,CES123-50,융합글쓰기2,2,이상옥,월2.0-3.5,A406
CES123-51,공통교육,2,CES123-51,융합글쓰기2,2,이상옥,월4.0-5.5,A406
CES123-52,공통교육,2,CES123-52,융합글쓰기2,2,이상옥,월6.0-7.5,A406
CES123-53,공통교육,2,CES123-53,융합글쓰기2,2,이원숙,수3.0-4.5,A406
CES123-54,공통교육,2,CES123-54,융합글쓰기2,2,이원숙,수7.0-8.5,A406
CES123-55,공통교육,2,CES123-55,융합글쓰기2,2,최옥선,목3.0-4.5,A401
CES123-56,공통교육,2,CES123-56,융합글쓰기2,2,황지영,금4.0-5.5,A403
CES125-01,공통교육,1,CES125-01,PracticalEnglish2,1,김지혜,월1.0-2.5,A202
CES125-02,공통교육,1,CES125-02,PracticalEnglish2,1,김지혜,월3.0-4.5,A202
CES125-03,공통교육,1,CES125-03,PracticalEnglish2,1,윤충일,화1.0-2.5,A318
CES125-04,공통교육,1,CES125-04,PracticalEnglish2,1,윤충일,화3.0-4.5,A318
CES125-05,공통교육,1,CES125-05,PracticalEnglish2,1,윤충일,수3.0-4.5,A318
CES125-06,공통교육,1,CES125-06,PracticalEnglish2,1,윤충일,목3.0-4.5,A318
CES125-07,공통교육,1,CES125-07,PracticalEnglish2,1,윤충일,목7.0-8.5,A202
CES125-08,공통교육,1,CES125-08,PracticalEnglish2,1,도숙진,화5.0-6.5,A204
CES125-09,공통교육,1,CES125-09,PracticalEnglish2,1,도숙진,수5.0-6.5,A204
CES125-10,공통교육,1,CES125-10,PracticalEnglish2,1,도숙진,금1.0-2.5,A204
CES125-11,공통교육,1,CES125-11,PracticalEnglish2,1,이춘희,목1.0-2.5,A402
CES125-12,공통교육,1,CES125-12,PracticalEnglish2,1,이춘희,금3.0-4.5,A404
CES125-13,공통교육,1,CES125-13,PracticalEnglish2,1,박종덕,월5.0-6.5,A202
CES125-14,공통교육,1,CES125-14,PracticalEnglish2,1,박종덕,월7.0-8.5,A202
CES125-15,공통교육,1,CES125-15,PracticalEnglish2,1,박종덕,화3.0-4.5,A202
CES125-16,공통교육,1,CES125-16,PracticalEnglish2,1,박종덕,수5.0-6.5,A202
CES125-17,공통교육,1,CES125-17,PracticalEnglish2,1,박종덕,목1.0-2.5,A202
CES125-18,공통교육,1,CES125-18,PracticalEnglish2,1,박미경,화5.0-6.5,A201
CES125-19,공통교육,1,CES125-19,PracticalEnglish2,1,박미경,수3.0-4.5,A204
CES125-20,공통교육,1,CES125-20,PracticalEnglish2,1,박미경,목3.0-4.5,A204
CES125-21,공통교육,1,CES125-21,PracticalEnglish2,1,김미혜,월3.0-4.5,A201
CES125-22,공통교육,1,CES125-22,PracticalEnglish2,1,김미혜,화1.0-2.5,A202
CES125-23,공통교육,1,CES125-23,PracticalEnglish2,1,김미혜,수7.0-8.5,A201
CES125-24,공통교육,1,CES125-24,PracticalEnglish2,1,이춘희,목5.0-6.5,A402
CES125-25,공통교육,1,CES125-25,PracticalEnglish2,1,이춘희,금5.0-6.5,A404
CES125-26,공통교육,1,CES125-26,PracticalEnglish2,1,홍은숙,월3.0-4.5,A402
CES125-27,공통교육,1,CES125-27,PracticalEnglish2,1,홍은숙,월7.0-8.5,A402
CES125-28,공통교육,1,CES125-28,PracticalEnglish2,1,홍은숙,화1.0-2.5,A402
CES125-29,공통교육,1,CES125-29,PracticalEnglish2,1,홍은숙,화5.0-6.5,A402
CES125-30,공통교육,1,CES125-30,PracticalEnglish2,1,홍은숙,수7.0-8.5,A402
CES125-31,공통교육,1,CES125-31,PracticalEnglish2,1,홍은숙,수5.0-6.5,A402
CES125-32,공통교육,1,CES125-32,PracticalEnglish2,1,김지혜,화3.0-4.5,A201
CES125-33,공통교육,1,CES125-33,PracticalEnglish2,1,김지혜,수3.0-4.5,A201
CES125-34,공통교육,1,CES125-34,PracticalEnglish2,1,김지혜,수5.0-6.5,A201
CES125-35,공통교육,1,CES125-35,PracticalEnglish2,1,김지혜,목3.0-4.5,A202
CES125-36,공통교육,1,CES125-36,PracticalEnglish2,1,박미경,수1.0-2.5,A204
CES125-37,공통교육,1,CES125-37,PracticalEnglish2,1,박미경,목7.0-8.5,A204
CES125-38,공통교육,1,CES125-38,PracticalEnglish2,1,박미경,금3.0-4.5,A201
CES125-39,공통교육,1,CES125-39,PracticalEnglish2,1,유미정,목1.0-2.5,A201
CES125-40,공통교육,1,CES125-40,PracticalEnglish2,1,도숙진,화3.0-4.5,A204
CES125-41,공통교육,1,CES125-41,PracticalEnglish2,1,도숙진,수7.0-8.5,A204
CES125-42,공통교육,1,CES125-42,PracticalEnglish2,1,도숙진,목7.0-8.5,A201
CES125-43,공통교육,1,CES125-43,PracticalEnglish2,1,김미혜,월7.0-8.5,A201
CES125-44,공통교육,1,CES125-44,PracticalEnglish2,1,김미혜,수3.0-4.5,A202
CES125-45,공통교육,1,CES125-45,PracticalEnglish2,1,김미혜,목3.0-4.5,A201
CES125-46,공통교육,1,CES125-46,PracticalEnglish2,1,유미정,목5.0-6.5,A201
CES125-47,공통교육,1,CES125-47,PracticalEnglish2,1,유미정,금1.0-2.5,A201
CES202-01,공통교육,2,CES202-01,미디어영어,2,황태경,화1.0-2.5,M102
CES215-01,공통교육,2,CES215-01,발표와연설,2,임택균,월6.0-7.5,A401
CES216-01,공통교육,2,CES216-01,미디어언어의이해와활용,2,배은혜,화5.0-6.5,A401
CES217-01,공통교육,2,CES217-01,함께읽고해석하는고전의세계,2,김영철,수7.0-8.5,A401
CES218-01,공통교육,2,CES218-01,DynamicEnglishCommunication,2,데이비드파우스트,수3.0-4.5,A312
CES219-01,공통교육,2,CES219-01,EnglishandCommunicationConnections,2,존웬델,월7.0-8.5,A327
CES220-01,공통교육,2,CES220-01,RealWorldEnglish,2,캐서린,수5.0-6.5,A311
CES221-01,공통교육,2,CES221-01,TransactionalEnglishPreparationA,2,트로이,목7.0-8.5,A313
CES222-01,공통교육,2,CES222-01,TransactionalEnglishPreparationB,2,케네스,수5.0-6.5,A314
CES227-01,공통교육,2,CES227-01,고급종합영어,2,홍은숙,목3.0-4.5,A402
CES228-01,공통교육,2,CES228-01,중급영어독해,2,박종덕,화5.0-6.5,A202
CES229-01,공통교육,2,CES229-01,중급영어듣기,2,윤충일,금3.0-4.5,A202
CES232-01,공통교육,2,CES232-01,중급일본어,2,문재연,화3.0-4.5,A402
CES233-01,공통교육,2,CES233-01,일본어실용연습,2,문재연,목3.0-4.5,A301
CES234-01,공통교육,2,CES234-01,중급중국어,2,임융지,금1.0-2.5,A308
CES235-01,공통교육,2,CES235-01,중국어활용,2,이민경,월2.0-3.5,A306
CES236-01,공통교육,2,CES236-01,초급일본어,2,문재연,화5.0-6.5,A318
CES237-01,공통교육,2,CES237-01,초급중국어,2,임융지,금3.0-4.5,A308
CES240-01,공통교육,2,CES240-01,파이썬으로시작하는업무자동화,2,안형근,월3.0-4.5,A215
CES241-01,공통교육,2,CES241-01,아두이노프로그래밍,2,배성현,금3.0-4.5,A212
FES101-01,계열교육,3,FES101-01,논리학개론,3,선혜영,금1.5-4.0,A209
FES101-02,계열교육,3,FES101-02,논리학개론,3,선혜영,금5.0-7.5,A309
FES102-01,계열교육,3,FES102-01,철학개론,3,전광수,목7.0-9.5,A208
FES102-02,계열교육,3,FES102-02,철학개론,3,김영철,월4.0-6.5,M403
FES103-01,계열교육,3,FES103-01,역사의이해,3,최혜경,목5.0-7.5,M101
FES103-02,계열교육,3,FES103-02,역사의이해,3,류은하,금3.0-5.5,A207
FES105-01,계열교육,3,FES105-01,언어학의이해,3,김주관,"화4.0-5.0,목1.0-2.0","A307,A309"
FES106-01,계열교육,3,FES106-01,서양사이해,3,류은하,금7.0-9.5,A207
FES201-01,계열교육,3,FES201-01,경제학입문,3,김동헌,월5.5-8.0,B308
FES201-02,계열교육,3,FES201-02,경제학입문,3,김동헌,화4.0-6.5,B308
FES201-03,계열교육,3,FES201-03,경제학입문,3,김동헌,수7.0-9.5,B308
FES202-01,계열교육,3,FES202-01,법의이해,3,심민석,목4.0-6.5,B302
FES202-02,계열교육,3,FES202-02,법의이해,3,심민석,목7.0-9.5,B302
FES203-01,계열교육,3,FES203-01,정치학의이해,3,권오윤,월7.0-9.5,B206
FES203-02,계열교육,3,FES203-02,정치학의이해,3,진유정,수7.0-9.5,B206
